,Category,SubCategory,Name,Image_url,Url,Safety,Natural,CCal,Quality,Evaluation
0, Рыба и морепродукты , Рыбные консервы ,Сардина натуральная «Балт-Фиш плюс» с добавлением масла,https://roscontrol.com/files/images/products/00/bb/00bb400df541531893bd_product_category_2a6aa128.jpg,https://roscontrol.com/product/sardina-naturalnaya-balt-fish-plyus-s-dobavleniem-masla/,23,65,57,79,55
1, Рыба и морепродукты , Рыбные консервы ,Сардина натуральная «5 морей» с добавлением масла,https://roscontrol.com/files/images/products/fc/a4/fca4d56a20f97f39b3d4_product_category_2a6aa128.jpg,https://roscontrol.com/product/sardina-naturalnaya-5-morey-s-dobavleniem-masla/,71,65,66,94,76
2, Рыба и морепродукты , Рыбные консервы ,Сардина натуральная «Балтийский невод» с добавлением масла,https://roscontrol.com/files/images/products/dc/04/dc041c4e653caec9b767_product_category_2a6aa128.jpg,https://roscontrol.com/product/sardina-naturalnaya-baltiyskiy-nevod-s-dobavleniem-masla/,72,75,58,67,68
3, Рыба и морепродукты , Рыбные консервы ,Сардина натуральная «Мореслав» с добавлением масла,https://roscontrol.com/files/images/products/6b/3c/6b3c5dbe4a449865705f_product_category_2a6aa128.jpg,https://roscontrol.com/product/sardina-naturalnaya-moreslav-s-dobavleniem-masla/,65,75,62,87,73
4, Рыба и морепродукты , Рыбные консервы ,Сардина натуральная Fish House с добавлением масла,https://roscontrol.com/files/images/products/21/fc/21fc40d05f6e7240219f_product_category_2a6aa128.jpg,https://roscontrol.com/product/sardina-naturalnaya-fish-house-s-dobavleniem-masla/,75,65,62,87,74
5, Рыба и морепродукты , Рыбные консервы ,Сардина натуральная «Красная цена» с добавлением масла,https://roscontrol.com/files/images/products/11/f4/11f47fc8b70f889f0b7a_product_category_2a6aa128.jpg,https://roscontrol.com/product/sardina-naturalnaya-krasnaya-tsena-s-dobavleniem-masla/,72,65,57,64,65
6, Рыба и морепродукты , Рыбные консервы ,"Печень трески ""Морской котик""",https://roscontrol.com/files/images/products/b5/fa/b5fa365a56e3a1f977e1_product_category_2a6aa128.jpg,https://roscontrol.com/product/pechen-treski-morskoy-kotik/,47,65,21,71,53
7, Рыба и морепродукты , Рыбные консервы ,"Печень трески ""5 морей""",https://roscontrol.com/files/images/products/b5/ac/b5accd2e481aaf86038e_product_category_2a6aa128.jpg,https://roscontrol.com/product/5-morey-1/,64,65,35,92,67
8, Рыба и морепродукты , Рыбные консервы ,Тунец консервированный Fortuna,https://roscontrol.com/files/images/products/64/0f/640f403566845b1d378e_product_category_2a6aa128.jpg,https://roscontrol.com/product/tunets-konservirovanniy-fortuna/,77,65,46,72,67
9, Рыба и морепродукты , Рыбные консервы ,"Тунец консервированный ""5 морей""",https://roscontrol.com/files/images/products/94/b2/94b2346a60a2ee01e93f_product_category_2a6aa128.jpg,https://roscontrol.com/product/tunets-konservirovanniy-5-morey/,80,70,51,65,68
